comment,author,date,num_likes
13,아잇,2022-09-06T17:46:41Z,0
파닥파닥...,yoolala,2022-09-06T10:18:05Z,0
12,아잇,2022-09-05T16:43:48Z,0
"4:05 랑 4:13 오타 수정은 안하시려나?
볼때마다 저 부분 오타도 신경 쓰이고 유튜브 자막 뜨는 거 아쉽네..",령월,2022-09-05T00:15:07Z,0
오타 수정할려면 영상을 아예 내리고 재업로드 해야해서,랩터,2022-09-11T14:24:36Z,4
4:04 자막 오류.. 수정 부탁...,민준,2022-09-04T18:15:26Z,0
11,아잇,2022-09-04T17:12:41Z,0
10,아잇,2022-09-02T15:44:30Z,0
주르르!주르르!주르르!,인,2022-09-02T08:03:39Z,0
카..카와이..,이쁜닉네임 없냐,2022-09-02T04:41:08Z,0
,WebDev,2022-09-01T20:45:05Z,0
9,아잇,2022-08-31T15:06:10Z,0
난 이거만 보면 왤케 눈물이 나냐.. 르릇당 성장은 유독 감동적이야.. 내가 낳았어야 해..,ᄀᄐ,2022-08-31T08:53:19Z,1
9모 치면서 주스터피스 자동재생돼서 끝나고 들으러 왔어요!!,느그자냄시,2022-08-31T08:34:52Z,1
8,아잇,2022-08-30T15:12:47Z,0
입대전 주스터피스 한곡,채재민,2022-08-30T00:17:14Z,2
춤은 좌우 움직이는춤이 절반이상 차지하네 ㄷㄷ,츠냥이,2022-08-28T13:19:09Z,0
8,지지직,2022-08-28T01:18:40Z,0
7,아잇,2022-08-27T17:37:47Z,0
6,아잇,2022-08-26T14:26:48Z,0
5,아잇,2022-08-25T15:39:04Z,0
4:04 자막이 다르네요,차차,2022-08-25T13:55:38Z,0
두근 거리는 이 마음이 우리들의 마스터피스 ~ 💗,비구름,2022-08-25T11:27:33Z,1
4,아잇,2022-08-24T16:31:38Z,0
주르르 사랑해ㅜㅜㅜ 내 인생을 가져ㅠㅠㅜ 주르르 영원하자 ㅜㅜㅜ 주르르 짱좋아 언니ㅜㅠㅠ 사랑해,By자몽,2022-08-23T20:50:02Z,4
3,아잇,2022-08-23T16:01:23Z,0
❤,GG,2022-08-23T14:48:35Z,0
씹덕노래라서 아무리 이세돌이라도 피했는데…. 왜 좋냐…. 뒤늦게 중독돼버렸네,2rotor13b,2022-08-23T12:42:31Z,3
그렇게 씹덕되는거임,춤추는통닭,2022-09-06T09:10:08Z,0
"나도 씹덕같아서 안보다가 지금은..
 ㅋㅋ",애플회장,2022-08-28T08:19:05Z,0
원래 다 그럼 ㅋㅋ,애플회장,2022-08-28T08:18:52Z,0
이세돌 우마뾰이 보자마자 이거 생각나서 달려왔다.. 주르르 평생 아이돌 해줘!!,DanDDan,2022-08-22T18:22:34Z,5
2,아잇,2022-08-22T16:27:32Z,0
이거디,페브리즐,2022-08-22T10:13:07Z,0
